"","month","year","total_volume","min_flow","max_flow","mean_flow","median_flow"
"87",2,2005,1107302400,14169600,96768000,39546514.2857143,22982400
"88",2,2006,156634560,5011200,5823360,5594091.42857143,5598720
"89",2,2007,1135123200,22377600,71452800,40540114.2857143,28080000
"90",2,2008,137548800,4354560,7387200,4743062.06896552,4777920
"91",2,2009,319420800,9763200,22550400,11407885.7142857,9936000
"92",2,2010,6034435200,45446400,318816000,215515542.857143,282528000
"93",2,2011,197847360,4665600,9072000,7065977.14285714,7879680
"94",2,2012,171218880,5762880,5996160,5904099.31034483,5883840
"95",2,2013,1862611200,11318400,139104000,66521828.5714286,48686400
"96",2,2014,2490566400,12009600,270432000,88948800,48686400
"97",2,2015,1415750400,16416000,170208000,50562514.2857143,44625600
"98",2,2016,4704825600,43113600,269568000,162235365.517241,197856000
"99",2,2017,346723200,9936000,20476800,12841600,12441600
"100",2,2018,169922880,5952960,6160320,6068674.28571429,6060960
"101",2,2019,3447446400,43804800,395712000,123123085.714286,47952000
"102",2,2020,6189782400,11750400,342144000,213440772.413793,329184000
"103",2,2021,4608057600,12096000,4.32e+08,164573485.714286,134784000
"104",2,2022,759110400,10627200,95040000,27111085.7142857,11059200
"105",3,1971,3197750400,31104000,402624000,103153238.709677,51840000
"106",3,1972,1205452800,26179200,69465600,38885574.1935484,33091200
"107",3,1973,6629472000,97632000,443232000,213853935.483871,200448000
"108",3,1974,2321827200,29548800,331776000,74897651.6129032,48038400
"109",3,1975,10289030400,48556800,941760000,331904206.451613,130464000
"110",3,1976,1013904000,17798400,109728000,32706580.6451613,23587200
"111",3,1977,3946492800,33177600,378432000,127306219.354839,88992000
"112",3,1978,5134838400,31536000,563328000,165639948.387097,95904000
"113",3,1979,5885395200,41817600,898560000,189851458.064516,99360000
"114",3,1980,5168188800,37929600,397440000,166715767.741935,133920000
"115",3,1981,803260800,6566400,101088000,25911638.7096774,18057600
"116",3,1982,4713638400,70243200,260928000,152052851.612903,150336000
"117",3,1983,6820070400,27993600,426816000,220002270.967742,226368000
"118",3,1984,8859542400,81302400,399168000,285791690.322581,316224000
"119",3,1985,921974400,5875200,151200000,29741109.6774194,27907200
"120",3,1986,2599948800,13219200,291168000,83869316.1290323,27734400
"121",3,1987,7581772800,38793600,588384000,244573316.129032,177120000
"122",3,1988,625104000,11404800,45446400,20164645.1612903,16502400
"123",3,1989,1.0692e+10,80352000,465696000,344903225.806452,368064000
"124",3,1990,1650326400,13478400,181440000,53236335.483871,44323200
"125",3,1991,3043094400,18835200,262656000,98164335.483871,71625600
"126",3,1992,2739830400,24451200,250560000,88381625.8064516,44668800
"127",3,1993,9119692800,33004800,566784000,294183638.709677,315360000
"128",3,1994,4902422400,14169600,318816000,158142658.064516,107136000
"129",3,1995,3127852800,14169600,224640000,100898477.419355,37497600
"130",3,1996,3059769600,21859200,254880000,98702245.1612903,80697600
"131",3,1997,2429481600,15206400,269568000,78370374.1935484,50716800
"132",3,1998,10652083200,18662400,592704000,343615587.096774,362880000
"133",3,1999,1859673600,14860800,213408000,59989470.9677419,51580800
"134",3,2000,2281737600,13737600,236736000,73604438.7096774,40953600
"135",3,2001,1483142400,12009600,241056000,47843303.2258065,22723200
"136",3,2002,183003840,5771520,6013440,5903349.67741936,5909760
"137",3,2003,5557420800,16070400,316224000,179271638.709677,194400000
"138",3,2004,771120000,16675200,33264000,24874838.7096774,21254400
"139",3,2005,3378844800,30499200,235872000,108994993.548387,88128000
"140",3,2006,181206720,5693760,5952960,5845378.06451613,5883840
"141",3,2007,2404339200,28684800,151200000,77559329.0322581,68860800
"142",3,2008,82667520,2272320,4423680,2666694.19354839,2522880
"143",3,2009,4170096000,14169600,251424000,134519225.806452,146880000
"144",3,2010,2096236800,14947200,248832000,67620541.9354839,31017600
"145",3,2011,235215360,5581440,9417600,7587592.25806452,8985600
"146",3,2012,230100480,5883840,19526400,7422596.12903226,5987520
"147",3,2013,1811980800,14428800,139104000,58450993.5483871,52790400
"148",3,2014,3949084800,13737600,308448000,127389832.258065,62467200
"149",3,2015,3774124800,15552000,267840000,121745961.290323,91584000
"150",3,2016,2587420800,30672000,215136000,83465187.0967742,61862400
"151",3,2017,412819200,11059200,47260800,13760640,12441600
